full_name,description,stars,forks,language,url,updated_year,last_updated,created_year,created_at,watchers_count,size,license,languages,primary_language,topics,readme_snippet,category
khoj-ai/khoj,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.",32004,1904,Python,https://github.com/khoj-ai/khoj,2025,2025-12-08T04:36:04+00:00,2021,2021-08-16T01:48:44+00:00,32004,117290,GNU Affero General Public License v3.0,"{'Python': 1568495, 'TypeScript': 1137924, 'CSS': 106295, 'HTML': 77724, 'Emacs Lisp': 76457, 'JavaScript': 70940, 'Shell': 14889, 'Dockerfile': 10523, 'Java': 2888}",Python,"['semantic-search', 'emacs', 'obsidian-md', 'chat', 'chatgpt', 'ai', 'llm', 'productivity', 'agent', 'self-hosted', 'rag', 'whatsapp-ai', 'offline-llm', 'llamacpp', 'obsidian', 'llama3', 'image-generation', 'stt', 'assistant', 'research']",Overview Khojis a personal AI app to extend your capabilities. It smoothly scales up from an on-device personal AI to a cloud-scale enterprise AI.,personal ai app
fractalego/wafl,Using LLMs and rules for a local personal agent,16,0,Python,https://github.com/fractalego/wafl,2025,2025-01-17T15:58:54+00:00,2021,2021-12-12T17:49:28+00:00,16,6904,MIT License,"{'Python': 181831, 'HTML': 6498, 'CSS': 2214, 'Shell': 185, 'JavaScript': 164}",Python,"['chatbot', 'local-model', 'personal-agent', 'tool-use']","WAFL 0.1.0 WAFL is a framework for personal agents. It integrates Large language models, speech recognition and text to speech.
This framework combines Large Language Models and rules to create a predictable behavior. 
A set of rules is used to define the behavior of the agent, supporting function calling and a working memory.
The current version requires the user to specify the rules to follow.",framework
run-llama/llama_index,LlamaIndex is the leading framework for building LLM-powered agents over your data.,46013,6663,Python,https://github.com/run-llama/llama_index,2025,2025-12-25T03:27:46+00:00,2022,2022-11-02T04:24:54+00:00,46013,380388,MIT License,"{'Python': 15036950, 'Jupyter Notebook': 9802885, 'Makefile': 440536, 'JavaScript': 85982, 'HTML': 57132, 'Tree-sitter Query': 17376, 'EdgeQL': 3396, 'Shell': 3332, 'Starlark': 373}",Python,"['agents', 'application', 'data', 'fine-tuning', 'framework', 'llamaindex', 'llm', 'rag', 'vector-database', 'multi-agents']","🗂️ LlamaIndex 🦙 LlamaIndex (GPT Index) is a data framework for your LLM application. Building with LlamaIndex typically involves working with LlamaIndex core and a chosen set of integrations (or plugins). There are two ways to start building with LlamaIndex in
Python:",framework
langchain-ai/langchain,🦜🔗 The platform for reliable agents.,122676,20220,Python,https://github.com/langchain-ai/langchain,2025,2025-12-23T22:55:43+00:00,2022,2022-10-17T02:58:36+00:00,122676,504377,MIT License,"{'Python': 10641527, 'Jupyter Notebook': 66516, 'Makefile': 54731, 'Shell': 12661, 'XSLT': 7380, 'HTML': 1900, 'Dockerfile': 1788, 'JavaScript': 157}",Python,"['ai', 'anthropic', 'gemini', 'langchain', 'llm', 'openai', 'python', 'agents', 'ai-agents', 'ai-agents-framework', 'chatgpt', 'enterprise', 'framework', 'generative-ai', 'multiagent', 'open-source', 'pydantic', 'rag', 'aiagentframework']",Why use LangChain? LangChain is a framework for building agents and LLM-powered applications. It helps you chain together interoperable components and third-party integrations to simplify AI application development – all while future-proofing decisions as the underlying technology evolves.,framework
Giskard-AI/giskard-oss,🐢 Open-Source Evaluation & Testing library for LLM Agents,5037,386,Python,https://github.com/Giskard-AI/giskard-oss,2025,2025-11-18T11:06:33+00:00,2022,2022-03-06T21:45:37+00:00,5037,183978,Apache License 2.0,"{'Python': 2048919, 'JavaScript': 43731, 'HTML': 20366, 'CSS': 12427, 'Shell': 928}",Python,"['mlops', 'ml-validation', 'ml-testing', 'ai-testing', 'llmops', 'responsible-ai', 'fairness-ai', 'trustworthy-ai', 'llm-eval', 'llm-evaluation', 'rag-evaluation', 'ai-security', 'llm-security', 'ai-red-team', 'red-team-tools', 'llm', 'agent-evaluation']","The Evaluation & Testing framework for AI systems Install the latest version of Giskard from PyPi using pip:sh
pip install ""giskard[llm]"" -UWe officially support Python 3.9, 3.10 and 3.11.",framework
fetchai/uAgents,A fast and lightweight framework for creating decentralized agents with ease.,1549,345,Python,https://github.com/fetchai/uAgents,2025,2025-12-19T14:41:04+00:00,2022,2022-09-28T17:31:19+00:00,1549,32588,Apache License 2.0,"{'Python': 727801, 'Smarty': 1772, 'Dockerfile': 552}",Python,"['agents', 'ai', 'ai-agents', 'llm', 'multi-agent-systems']","uAgents: AI Agent Framework uAgents is a library developed by Fetch.ai that allows for creating autonomous AI agents in Python. With simple and expressive decorators, you can have an agent that performs various tasks on a schedule or takes action on various events.",framework
stay-leave/enhance_llm,大模型相关实践记录,157,19,Python,https://github.com/stay-leave/enhance_llm,2025,2025-04-06T10:47:49+00:00,2022,2022-09-11T10:29:33+00:00,157,149,Apache License 2.0,"{'Python': 100687, 'Shell': 613}",Python,"['agent', 'llm', 'python3']",项目介绍 微信公众号：西书北影。,collection of projects
Open-Source-Legal/OpenContracts,"Enterprise-grade and API-first LLM workspace for unstructured documents, including data extraction, redaction, rights management, prompt playground, and more!",1113,115,Python,https://github.com/Open-Source-Legal/OpenContracts,2025,2025-12-24T13:15:00+00:00,2022,2022-10-24T04:08:13+00:00,1113,143805,GNU Affero General Public License v3.0,"{'Python': 5838559, 'TypeScript': 5052787, 'CSS': 18516, 'Shell': 16915, 'Dockerfile': 11558, 'HTML': 9379, 'JavaScript': 2271, 'SCSS': 610}",Python,"['agent', 'agentic-ai', 'etl', 'etl-pipeline', 'llm', 'unstructured-data', 'vector-database', 'prompt-engineering']","OpenContracts (Demo) Open source document intelligence. Self-hosted, AI-powered, and built for teams who need to own their data.",llm agent
AstrBotDevs/AstrBot,✨ Agentic IM ChatBot Infrastructure — 聊天智能体基础设施 ✨ 多消息平台集成（QQ / Telegram / 企微 / 飞书 / 钉钉等），强大易用的插件系统，支持 OpenAI / Gemini / Anthropic / Dify / Coze / 阿里云百炼 / 知识库 / Agent 智能体,14485,1129,Python,https://github.com/AstrBotDevs/AstrBot,2025,2025-12-25T09:08:10+00:00,2022,2022-12-08T13:27:46+00:00,14485,36865,GNU Affero General Public License v3.0,"{'Python': 2283203, 'Vue': 964792, 'TypeScript': 134986, 'JavaScript': 18104, 'SCSS': 13370, 'HTML': 12206, 'Dockerfile': 751}",Python,"['ai', 'chatbot', 'chatgpt', 'openai', 'qqbot', 'qqchannel', 'gpt', 'qq', 'agent', 'docker', 'llm', 'python', 'telegram', 'gemini', 'llama', 'mcp']",主要功能 AstrBot 是一个开源的一站式 Agent 聊天机器人平台，可接入主流即时通讯软件，为个人、开发者和团队打造可靠、可扩展的对话式智能基础设施。无论是个人 AI 伙伴、智能客服、自动化助手，还是企业知识库，AstrBot 都能在你的即时通讯软件平台的工作流中快速构建生产可用的 AI 应用。,framework
QIN2DIM/hcaptcha-challenger,🥂 Gracefully face hCaptcha challenge with multimodal large language model.,2063,376,Python,https://github.com/QIN2DIM/hcaptcha-challenger,2025,2025-12-21T14:51:09+00:00,2022,2022-02-15T07:08:12+00:00,2063,172190,GNU General Public License v3.0,"{'Python': 483469, 'HTML': 6058, 'Jupyter Notebook': 5465, 'JavaScript': 2539, 'Shell': 1355, 'Dockerfile': 959}",Python,"['hcaptcha', 'hcaptcha-solver', 'yolo', 'playwright', 'clip', 'agent', 'gemini', 'llm', 'ai-agents', 'chatgpt', 'openai', 'captcha-solver', 'captcha', 'captcha-solving']",hCaptcha Challenger 🚀 Gracefully face hCaptcha challenge with multimodal large language model.,llm agent
