full_name,description,stars,forks,language,url,year,last_updated
Shubhamsaboo/awesome-llm-apps,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models.",80584,11062,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,2025,2025-11-28T05:58:04+00:00
Arindam200/awesome-ai-apps,"A collection of projects showcasing RAG, agents, workflows, and other AI use cases",7732,940,Python,https://github.com/Arindam200/awesome-ai-apps,2025,2025-11-23T06:46:50+00:00
kimtth/awesome-azure-openai-llm,"A curated reference for 🌌 Azure OpenAI, 🦙 LLMs (RAG, Agents), and resources.",386,49,Python,https://github.com/kimtth/awesome-azure-openai-llm,2025,2025-11-27T03:47:50+00:00
Prat011/awesome-llm-skills,"A curated list of awesome LLM and AI Agent Skills, resources and tools for customising AI Agent workflows - that works with Claude Code, Codex, Gemini CLI and your custom AI Agents",118,9,Python,https://github.com/Prat011/awesome-llm-skills,2025,2025-10-28T08:02:48+00:00
jondoescoding/awesome-ai-agents,A collection of awesome web2 and web3 AI agents and workflows using OpenAI compatible LLMs.,39,7,Python,https://github.com/jondoescoding/awesome-ai-agents,2025,2025-03-11T21:48:40+00:00
XiaomingX/indie-hacker-tools-plus,"为独立开发者准备的精选技术栈和工具仓库来了！这里有你最需要的工具，帮你提升开发效率、节约成本，最重要的是——这些工具都是市场上热门的，经过验证的。🚀A curated collection of tech stacks and tools tailored for independent developers is here! these are proven, popular tools widely used in the industry. 🚀",771,56,Python,https://github.com/XiaomingX/indie-hacker-tools-plus,2025,2025-11-27T23:05:38+00:00
XiaomingX/awesome-llm-app,"这是一个汇集了众多优秀大型语言模型应用的合集，这些应用采用了检索增强生成（RAG）技术，并使用了 OpenAI、Anthropic、Gemini 以及开源模型。Collection of awesome LLM apps with RAG using OpenAI, Anthropic, Gemini and opensource models.",21,2,Python,https://github.com/XiaomingX/awesome-llm-app,2025,2025-05-27T02:38:21+00:00
arunpshankar/react-from-scratch,"This repo compiles a collection of examples that demonstrate the effective use of the ReAct pattern in LLM prompting. It includes variations and implementations of agents that leverage the ReAct pattern, optimized for Gemini.",144,50,Python,https://github.com/arunpshankar/react-from-scratch,2025,2025-05-30T12:42:53+00:00
329162516/medprompt,"Collection of prompts, tools, chains and agents for healthcare using LLMs and FHIR.",12,5,,https://github.com/329162516/medprompt,2023,2023-12-09T19:56:24+00:00
samber/the-great-gpt-firewall,"🤖 A curated list of websites that restrict access to AI Agents, AI crawlers and GPTs",93,7,Python,https://github.com/samber/the-great-gpt-firewall,2025,2025-11-01T12:39:12+00:00
peytontolbert/GPTDev,Collection of Autonomous Software Development Scripts and Actions utilizing local LLM,4,0,Python,https://github.com/peytontolbert/GPTDev,2024,2024-08-26T05:09:29+00:00
Azzedde/clever_searcher,"Intelligent web discovery agent with LLM-powered planning, multi-source search, smart deduplication, and GRPO preference dataset collection. Autonomously searches, analyzes, and summarizes web content while building training data for model fine-tuning.",10,0,Python,https://github.com/Azzedde/clever_searcher,2025,2025-08-09T12:50:40+00:00
sharabhshukla/llm_agents,LLM agents is a python package that contains a small collection of autonomous agents.,1,0,Python,https://github.com/sharabhshukla/llm_agents,2024,2024-05-13T02:44:24+00:00
1HongyeXiong/llm-powered-business-solutions,"A collection of projects focused on leveraging Large Language Models (LLMs) and AI to solve real-world business challenges. Includes applications in brochure generation, customer support, price prediction, meeting automation, and autonomous bargain discovery.",0,0,Python,https://github.com/1HongyeXiong/llm-powered-business-solutions,2025,2025-01-16T01:42:01+00:00
imio21777/IntelCarAgent,"Autonomous agent for tracking intelligent automotive industry news, combining multi-source collection, LLM analysis, and automated email reporting.",0,0,Python,https://github.com/imio21777/IntelCarAgent,2025,2025-10-12T17:21:19+00:00
bassem-elsodany/agentic_design_patterns,"Agentic Design Patterns for LLM Workflows — A curated collection of reusable, modular patterns for building robust and autonomous LLM-powered agents, covering multi-agent orchestration, memory, prompt flows, and tool integrations",0,0,Python,https://github.com/bassem-elsodany/agentic_design_patterns,2025,2025-06-11T03:04:41+00:00
