full_name,description,stars,forks,language,url,year,last_updated
langchain-ai/langchain,🦜🔗 The platform for reliable agents.,120685,19892,Python,https://github.com/langchain-ai/langchain,2025,2025-11-28T08:55:39+00:00
browser-use/browser-use,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,73043,8707,Python,https://github.com/browser-use/browser-use,2025,2025-11-28T12:00:34+00:00
infiniflow/ragflow,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,68482,7394,Python,https://github.com/infiniflow/ragflow,2025,2025-11-28T11:55:24+00:00
OpenHands/OpenHands,"🙌 OpenHands: Code Less, Make More",65277,7965,Python,https://github.com/OpenHands/OpenHands,2025,2025-11-28T09:22:57+00:00
hiyouga/LLaMA-Factory,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),63232,7646,Python,https://github.com/hiyouga/LLaMA-Factory,2025,2025-11-27T09:59:42+00:00
opendatalab/MinerU,Transforms complex documents like PDFs into LLM-ready markdown/JSON for your Agentic workflows.,49538,4119,Python,https://github.com/opendatalab/MinerU,2025,2025-11-27T11:05:30+00:00
unslothai/unsloth,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train OpenAI gpt-oss, DeepSeek-R1, Qwen3, Gemma 3, TTS 2x faster with 70% less VRAM.",48773,4014,Python,https://github.com/unslothai/unsloth,2025,2025-11-28T04:52:27+00:00
mem0ai/mem0,Universal memory layer for AI Agents,43648,4721,Python,https://github.com/mem0ai/mem0,2025,2025-11-27T18:12:14+00:00
zhayujie/chatgpt-on-wechat,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择ChatGPT/Claude/DeepSeek/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,39851,9516,Python,https://github.com/zhayujie/chatgpt-on-wechat,2025,2025-10-22T10:32:10+00:00
2noise/ChatTTS,A generative speech model for daily dialogue.,38225,4154,Python,https://github.com/2noise/ChatTTS,2025,2025-11-27T09:34:14+00:00
