full_name,description,stars,forks,language,url,year,last_updated
TauricResearch/TradingAgents,TradingAgents: Multi-Agents LLM Financial Trading Framework,25692,4806,https://github.com/TauricResearch/TradingAgents,2025,Python,2025-10-09T07:34:10+00:00
HKUDS/AutoAgent,"""AutoAgent: Fully-Automated and Zero-Code LLM Agent Framework""",7948,1092,https://github.com/HKUDS/AutoAgent,2025,Python,2025-10-16T06:35:28+00:00
FoundationAgents/MetaGPT,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",59719,7315,https://github.com/FoundationAgents/MetaGPT,2025,Python,2025-10-04T05:57:57+00:00
The-Pocket/PocketFlow,Pocket Flow: 100-line LLM framework. Let Agents build Agents!,9050,1011,https://github.com/The-Pocket/PocketFlow,2025,Python,2025-08-13T17:27:39+00:00
trypromptly/LLMStack,"No-code multi-agent framework to build LLM Agents, workflows and applications with your data",2235,333,https://github.com/trypromptly/LLMStack,2024,Python,2024-12-11T19:59:51+00:00
openai/openai-agents-python,"A lightweight, powerful framework for multi-agent workflows",17564,2918,https://github.com/openai/openai-agents-python,2025,Python,2025-11-27T19:20:42+00:00
aiwaves-cn/agents,"An Open-source Framework for Data-centric, Self-evolving Autonomous Language Agents",5768,451,https://github.com/aiwaves-cn/agents,2024,Python,2024-09-26T03:12:53+00:00
run-llama/llama_index,LlamaIndex is the leading framework for building LLM-powered agents over your data.,45501,6568,https://github.com/run-llama/llama_index,2025,Python,2025-11-28T02:30:25+00:00
AgentOps-AI/agentops,"Python SDK for AI agent monitoring, LLM cost tracking, benchmarking, and more. Integrates with most LLMs and agent frameworks including CrewAI, Agno, OpenAI Agents SDK, Langchain, Autogen, AG2, and CamelAI",5095,497,https://github.com/AgentOps-AI/agentops,2025,Python,2025-10-30T18:52:13+00:00
pydantic/pydantic-ai,"GenAI Agent Framework, the Pydantic way",13548,1435,https://github.com/pydantic/pydantic-ai,2025,Python,2025-11-28T04:49:33+00:00
TencentQQGYLab/AppAgent,"AppAgent: Multimodal Agents as Smartphone Users, an LLM-based multimodal agent framework designed to operate smartphone apps.",6285,710,https://github.com/TencentQQGYLab/AppAgent,2025,Python,2025-03-19T11:01:38+00:00
